1627	Paris is the most beautiful city in the world.	2600895	Parĩ niko upe táva iporãvéva opa yvórape.
1724	It would be so cool if I could speak ten languages!	1671442	Iporaitereiva'era añe'eramo pa ñe'eme.
1848	This baby penguin is too cute!	2601553	Ko yperana mitã iporã itereiva!
2299	Japan is full of beautiful cities. Kyoto and Nara, for instance.	2600899	Hapõ oreko heta táva porã. Kioto ha Nara, techaukarã.
2387	You can't get lost in big cities; there are maps everywhere!	2600902	Nde ndeikatui rekañy táva guasúpe; oĩ yvyra'anga opa rendáre!
2435	Florence is the most beautiful city in Italy.	2600904	Florensia ha'e táva iporãvéva Itáliape.
16985	How many schools are there in your city?	2600906	Mboy mbo'ehao oĩ nde távape?
18182	I saw a flock of birds flying aloft.	2609847	Ahecha kuri umi guyra aty oveveva.
18333	Birds were singing in the sky.	2609858	Guyrakuéra oñe'ẽ va'ekue yvágape.
18496	Kanazawa is a quiet city.	2600908	Kanasagua ha'e táva py'aguapy.
19251	A republic is a nation whose head is not a king or queen, but a president.	2601010	Peteĩ tavakuairetã ha'e peteĩ tetã isambyhyhára ndaha'éi peteĩ mburuvicha guasu térã peteĩ mburuvicha guasu kuña, isambyhyhára ha'e peteĩ tendota.
25505	I'm living in the city.	2600922	Aiko távape.
25599	Is Okayama a big city?	2600926	Okaiama piko peteĩ táva guasu?
26156	The English poet Percy Shelley went so far as to call hell a city much like London.	2600933	Ñe'ẽpapara Ingyaterra pegua Percy Shelley oho pahaitegua omboheravo añaretã peteĩ táva hi'anteite Londye rehe.
30305	Hello, Meg, how have you been?	2601454	Maitei, Meg, mba'eichapa reko?
30307	Hello, John! How are you?	2601455	Maitei, John! Mba'eichapa reko?
30314	Hello, Tom. Good morning.	2601456	Maitei, Tom. Mba'eichapa ne ko'ẽ?
30968	Hello. This is Joe Carlton. May I speak to Michael?	2601473	Maitei. Che réra Joe Carlton. Ikatu añe'ẽ Michael ndie?
30969	Hello. This is Ogawa speaking.	2601485	Maitei. Ogawa oñe'ẽva.
30969	Hello. This is Ogawa speaking.	2601486	Maitei. Ápe Ogawa oñe'ẽva.
30973	Hello, I'm Tomoko Sato from Japan.	2601491	Maitei, Che ha'e Tomoko Sato Hapõ pegua.
30975	Hello. Is this the Gotos' residence?	2601492	Maitei. Kóva piko Goto róga?
30979	Hello, is Mr Freeman in?	2601494	Maitei, oĩpa Karai Freeman?
34222	The capital of Brazil is Brasilia.	2600938	Brasil itavusu ha'e Brasilia.
39262	The television doesn't work.	2220803	Ta'ãngambyry ndokói.
42321	It had the head of a woman, the body of a lion, the wings of a bird, and the tail of a serpent.	2601011	Oguerekókuri kuña akã, leõ hete, guyra pepo, ha mbói huguái.
46335	The boy was naked to the waist.	2610660	Mitã ikamisa'ỹ ipyti'áre.
57861	There are a lot of people and cars in this city. It is a busy city.	2600885	Oĩ heta ava ha mba'yrumýi ko távape. Ko táva omba'apovéva.
240009	You may as well call a cat a small tiger as call a tiger a big cat.	2601012	Nde ikatu rehenói peteĩ mbarakaja "jaguarete michĩ" ha peteĩ jaguarete "mbarakaja guasu".
246192	All the citizens of the city have access to the city library.	2600886	Opa tavaygua ikatu oike táva arandukarendápe.
246196	The city hall is located at the center of the city.	2600887	Tavao oĩ táva mbytépe.
246197	The city hall is in the center of the city.	2600887	Tavao oĩ táva mbytépe.
275697	The population of Osaka City is larger than that of Kyoto City.	2600889	Táva Osaka oguerekove tavayguakuéra Táva Kioto-gui.
280253	In order to catch animals, they used the bola.	2225471	Oipuru "voleadóra" Ojapi haguã mymbakuéra
405530	May I use your pencil?	2613034	Ikatúpa aipuru nde haiha?
405571	I have something that I want to say to you.	2613223	Añe'ẽse va'erã ndéve.
438995	Barcelona is the capital city of Catalonia and the second largest city in Spain.	2600890	Barcelona ha'e Kataluña itavusu ha táva tuichave mokõiha Epañape.
477214	Paraguay is a country in South America.	1671457	Paraguay ha'e petei "sudamerica" gua teta.
485186	The birds' home is in the forest, the fish's home is in the river, the bees' home is in the flowers, and the little children's is in China. We love our motherland from the time we're little, as the birds love the forest, the fish love the river, and the bees love the flowers.	2609832	Guyra renda ha'e ka'aguy, pira renda ha'e yguasu, eiru renda ha'e yvotykuéra, ha mitã'i renda ha'e tetã China. Ñande jahayhu ñande sy retã ñande mitã reko pegua, guyraicha ohayhu ika'aguy, piraicha ohayhu yguasu, ha eiruicha ohayhu yvotykuéra.
618101	Eureka!	2610626	Ajuhúma!
729146	"ẽ" is a letter in the Guarani alphabet.	2600934	"ẽ" ha'e peteĩ tai Avañe'ẽ achegety pegua.
1012692	What are you doing tomorrow?	1671472	Mba'épa rejapótako'êrõ?
1058925	Glorify the ocean, but stay on the ground.	2613242	Emoguasu para, hakatu epytake yvy ápe rupi.
1110385	Juan is from Paraguay. He is Paraguayan.	2600935	Huã ou Paraguáigui. Ha'e Paraguaigua.
1110390	Ana is from Paraguay. She is Paraguayan.	2600937	Ana ou Paraguáigui. Ha'e Paraguaigua.
1134064	My home is your home.	1671439	Che roga nde roga.
1174749	She shaved her armpits.	2609617	Ohague'o ijyvaguy.
1225236	I'm a good guy.	2613245	Che ha'e ava marangatu.
1384569	He doesn't show his feelings.	2613383	Ndohechauka hembiandukuéra.
1406501	A penguin is a bird that cannot fly.	2601554	Yperana ha'e guyra ndovevekuaáiva.
