360887	Pele as batatas e as cenouras.	2610400	Epire'o yvy'a ha makychĩ guasu.
376141	Em 1979 Madre Teresa ganhou o Prêmio Nobel da Paz.	2240118	Ary 1979-pe Madre Teresa ogana ko "Premio Nobel de la paz".
378303	Agora que ele se foi, nós sentimos muita saudade dele.	2604011	Ko'ãga ha'e ohoma, ñande jahechaga'u eterei chupe.
380576	Nós vamos todos sentir saudades quando você for embora.	2604015	Ore rohechaga'úta nde rehótavo.
380576	Nós vamos todos sentir saudades quando você for embora.	2604017	Ore rohechaga'úta nde rehótavo mombyry.
393615	Ficarei com saudades de seus pratos.	2604031	Che ahechaga'úta nde rembi'u.
393678	Eu morro de saudades de você.	2604034	Che rohechaga'ueterei.
404829	Sentiu saudades de mim?	2604036	Nde cherechaga'u piko?
405527	Tom não gosta de queijo.	2613018	Tom ndaho'ukuaai kesu.
405528	Tarde demais.	2613021	Are etereiva.
405529	Traduza as seguintes sentenças para japonês.	2613029	Embohasa hapõñe'ẽme ko ñe'ẽjoapy.
405531	Hmm, agora está realmente estranho...	2613048	E'a, ko'ãga hekope'ỹveva...
405532	Hmm... Como as coisas estão indo?	2613050	Ha... Mba'éichapa reime opamba'e rupi?
405533	Andando pela rua eu encontrei um velho amigo.	2613052	Aguata tapére atopa peteĩ angirũ ymaguare.
405534	A guerra se espalhou em 1939.	2613061	Ñorairõ isarambipáma ary 1939-pe.
405535	Nós temos duas orelhas.	2613067	Ñande jareko mokõi nambi.
405536	Nos encontramos amanhã?	2613070	Jajetopata piko ko'ẽrõ?
405537	Se eu morresse, quem iria cuidar dos meus filhos?	2613078	Che amano ramo, mávapa oñangarekota che ra'ykuéra.
405537	Se eu morresse, quem iria cuidar dos meus filhos?	2613080	Che amano ramo, mávapa oñangarekota che membykuéra?
405538	Que pena.	2613086	Aichejáranga!
405541	Quando você nasceu?	2613093	Araka'epa nde reheñói?
405542	Onde estão meus óculos?	2613103	Moõpa oĩ che resairũ?
405543	Onde John mora?	2613119	Moõpa oikove John?
405544	Onde é a entrada para o museu?	2613127	Moõpa oĩ óga rechaukaha jeike?
405545	Quem é ele?	2613130	Mávapa ha'e?
405547	Por que você não come frutas e verduras?	2613137	Mba'érepa nde nderekarui yva ha ka'avo?
405548	Por que você não come vegetais?	2613144	Mba'érepa nde nderekarui ka'avo?
405549	Sim, eu sou de Sapporo.	2613164	Heẽ, che Sapporo pegua.
405550	Você está sempre atrasado.	2613171	Nde are eteveva mante.
405552	Você é estúpido.	2613206	Nde tarova.
405552	Você é estúpido.	2613207	Nde tavy.
405553	Você é burro.	2613208	Nde výro.
405553	Você é burro.	2613209	Nde výra.
405563	Você é o meu tipo.	2613214	Nde ha'e che jojaha.
405565	Realmente, você não é burro.	2613215	Añetehápe, nde ndaha'éi výro.
405565	Realmente, você não é burro.	2613217	Añetehápe, nde ndaha'éi výra.
405569	"Como você se sente?", ele perguntou.	2613222	"Mba'eichapa reime?", oporandu.
405582	"Quem é esse?" "Sou eu."	2613252	"Mávapa amo tekove?" "Che ha'e."
405583	"Quem escreveu esse livro?" "Foi John."	2613256	"Mávapa ohai amo aranduka?" "John ohai"
405584	Uma criança precisa de amor.	2613264	Mitã oikotevẽ mborayhu.
405586	Coelhos têm orelhas grandes.	2613285	Kererua inambi guasu.
405586	Coelhos têm orelhas grandes.	2613286	Kererua oreko nambi guasu.
405591	Tudo vendido!	2613302	Oñeñemumbáma!
405597	E o que nós vamos fazer?	2613371	Ha mba'épa jajapota?
405600	São todos do mesmo tipo?	2613373	Opamba'e ha'eteguaicha?
405601	São todos iguais?	2613374	Opamba'e juehegua piko?
405602	Eles são americanos?	2613375	Ha'ekuéra Amérika pegua piko?
405603	Você está só?	2613378	Nde año?
405604	Você é chinês ou japonês?	2613380	Nde piko China pegua térã Hapõ pegua?
405616	Bob me ajudou.	2613403	Bob oipytyvõ akue chéve.
405617	Chame a polícia!	2613406	Ehenói tahachi!
405617	Chame a polícia!	2613407	Egueru tahachi!
405619	Posso lhe ajudar?	2613409	Ikatu piko roipytyõ?
405622	Gatos são animais muito limpos.	2613418	Mbarakaja ha'e mymba potĩ eteva.
415007	As pessoas de Madri são estranhas.	2240122	Madrileñokuéra ijestráñopa.
565644	As pessoas de Madri são doidas.	2610111	Máva Madri pegua itarova.
770616	Bill vai muito ao parque.	2232501	Bill heta ohóva párkepe.
817789	Estou com muitas saudades de você.	2604034	Che rohechaga'ueterei.
871669	O padre que fala francês estará aqui na semana que vem.	2240134	Pa'i oñe'ẽha hryãnsiañe'ẽme oiméta ko'ápe semána oúva.
875622	Tenho saudade da minha família e do meu país.	2604041	Ahechaga'u che róga ha che retã.
964865	O Reino Unido é composto pela Inglaterra, pela Escócia, pelo País de Gales e pela Irlanda do Norte.	2610160	Tavetã Joaju oguereko ipýpe Ingyatérra, Ekósia, Gále Retã ha Yvate Ilánda.
994512	Não estamos na selva.	2240142	Ndajaikoi ka'aguy rehe.
1063476	Que vai fazer você?	2232498	Mba'épa rejapóta?
1146064	Fale pela boca, não pelo nariz.	2610350	Eñe'ẽ nde jurúre, ani reñe'ẽ nde tĩ rupive.
1236383	Eu sou professora.	2232497	Che ha'éva mbo'ehára.
1303074	Ele roubou o relógio dela.	2232500	Omonda ijaravopapaha.
1319765	Nagano ganha Salt Lake City por 46 votos a 42.	2600880	Nagano ipu'aka kuri Salt Lake City rehe 46 jeporavo rupi 42 rovái.
1531354	Tom não sabe como isto se chama em inglês.	2240102	Tom ndoikuaái mba'epa hérava ingleñe'ẽme.
1557882	Estou cansado e não consigo andar mais.	2240109	Che kane'õma ha ndaikatúi aguatave.
1649412	Ela mandou flores à mãe.	2240111	Ha'e omondo kuri yvoty isýpe.
1782986	Vocês querem trabalhar na Alemanha?	2232502	Reipota rembaapo Alemáñape?
1915581	O ser humano é mortal?	2610157	Yvypóra piko ikatu omano?
1920381	Eu tive pouca escolha.	2601545	Ndarekói heta mba'e aiporavo hag̃ua.
2155725	Eu não sabia, então não me culpe por isso.	2232503	Che ndaikuaái, anike che kulpa upévare.
2184529	O Edson falou que morava em Porto Alegre.	2603991	Edson he'i kuri oikova táva Porto Alegre-pe.
2550295	Eu lhe pedi para abaixar o volume do aparelho de som.	2606194	Che rojerure remomichĩ mba'e puraheiha ipu.
2550295	Eu lhe pedi para abaixar o volume do aparelho de som.	2606205	Che ajerure ichupe omomichĩ mba'e puraheiha ipu.
2553217	O Brasil jogou com a França em Porto Alegre.	2606112	Pindorama ha Hyãsia oñembosarái vakapipopo táva Porto Alegre-pe.
2603995	Porto Alegre é uma cidade bonita.	2603994	Porto Alegre ha'e táva porã.
