2483	¿Qué estás haciendo?	2610353	Mba'épa rejapo?
2485	¡Hoy es 18 de junio y es el cumpleaños de Muiriel!	2610359	Ko ára ha'e 18 jasypoteĩ, Muiriel aramboty!
2487	Ahora, Muiriel tiene 20 años.	2610362	Ko'ãga, Muiriel oreko 20 ary.
180713	Yo vivo con mis padres.	2610392	Aikove che ru ha che sy ndie.
180713	Yo vivo con mis padres.	2610394	Aikove che sy ha che ru ndie.
339173	Él vive en el distrito sur de la ciudad.	2610028	Ha'e oikove táva vore ñembyguiguáme.
339548	Tokio es la ciudad más grande de Japón.	2610038	Tokio ha'e táva tuichavéva Hapõme.
339551	La Tierra gira alrededor del Sol.	2225465	Jasy ijeréva yvy rehe.
339948	Aquí está el vídeo que ven ellos.	2222653	Ko'a ha'e vidéo ohechaha ha'ekuéra.
340220	La Tierra tiene forma esférica.	2225466	Yvy ijapu'áva.
342744	Nuestra obligación es mantener limpia la ciudad.	2610044	Ñande ñamopotĩ va'erã ñande táva.
342899	La casa de él está en las afueras de la ciudad.	2610047	Hoga oĩ táva okápe.
342950	Ese incendio abrasó toda la ciudad.	2610049	Tataguasu ohapypaite pe táva.
343760	En mi ciudad hay un castillo.	2610059	Oĩ peteĩ óga guasu che távape.
346500	Encontré la situación de la ciudad en el mapa.	2610061	Atopa kuri ko táva yvyra'angápe.
354916	Nara es una ciudad bella y tranquila.	2610079	Nara ha'e táva porã ha py'aguapy.
382159	Todos los seres humanos nacen libres e iguales en dignidad y derechos y, dotados como están de razón y conciencia, deben comportarse fraternalmente los unos con los otros.	2240152	Mayma yvypóra ou ko yvy ári iñapytl'yre haetîcha dignidad ha derecho jeguerekópe; ha ikatu rupi oikuaa añetéva ha añete'yva, iporâ va ha ivaíva, tekotevê pehengué icha oiko oñondivekuéra.
463273	Esta ciudad está en Francia.	2610091	Ko táva oĩ Hyãsia retãme.
463275	Esta ciudad está en los Estados Unidos.	2610097	Ko táva oĩ Tetã peteĩ reko Amérikagua-pe.
463293	Esta carretera los llevará fuera de la ciudad.	2610100	Ko tape oho táva okápe.
477947	Hace tres días que no le veo.	2225476	Ohasáma mbohapy ára ndahechái ichupe.
483348	¿A qué hora llega este tren a Yokohama?	2222655	Mba'e aravo oguahẽ trẽ táva Jokoámape?
522282	Al principio no entendí lo que decía.	2220809	Iñepyrũme ndaentendéi mba'épiko ha'e he'i
540313	Las manzanas son rojas.	2223153	Mansána ipytã.
564130	Éstos son mis zapatos, y ésos son los tuyos.	2222639	Ko´áva che sapatu ha umíva la nde kuéra.
582492	Él es demasiado viejo.	2220813	Ha'e itujaiterei
656351	Tres comidas por día.	2232494	Mbohapy tembi'u cáda ára.
